,movie,year,imdb,metascore,votes
0,Logan,2017,N/A,77,827K
1,Thor: Ragnarok,2017,N/A,74,813K
2,Guardians of the Galaxy Vol. 2,2017,N/A,67,756K
3,Dunkirk,2017,N/A,94,736K
4,Spider-Man: Homecoming,2017,N/A,73,716K
5,Wonder Woman,2017,N/A,76,698K
6,Get Out,2017,N/A,85,691K
7,Star Wars: Episode VIII - The Last Jedi,2017,N/A,84,670K
8,Blade Runner 2049,2017,N/A,81,658K
9, Baby Driver,2017,N/A,86,605K
10, It,2017,N/A,69,603K
11, Coco,2017,N/A,81,586K
12," Three Billboards Outside Ebbing, Missouri",2017,N/A,88,553K
13,N/A,N/A,N/A,N/A,N/A
14, John Wick: Chapter 2,2017,N/A,75,509K
15, Justice League,2017,N/A,45,477K
16, The Shape of Water,2017,N/A,87,446K
17,N/A,N/A,N/A,N/A,N/A
18, Jumanji: Welcome to the Jungle,2017,N/A,58,436K
19, Kingsman: The Golden Circle,2017,N/A,44,361K
20, Kong: Skull Island,2017,N/A,62,345K
21,N/A,N/A,N/A,N/A,N/A
22, Pirates of the Caribbean: Salazar's Revenge,2017,N/A,39,344K
23, Beauty and the Beast,2017,N/A,65,333K
24,N/A,N/A,N/A,N/A,N/A
25, Lady Bird,2017,N/A,93,326K
26,N/A,N/A,N/A,N/A,N/A
27, Call Me by Your Name,2017,N/A,94,313K
28, The Greatest Showman,2017,N/A,48,310K
29, Alien: Covenant,2017,N/A,65,302K
30, Murder on the Orient Express,2017,N/A,52,295K
31, War for the Planet of the Apes,2017,N/A,82,280K
32, Wind River,2017,N/A,73,279K
33,N/A,N/A,N/A,N/A,N/A
34,N/A,N/A,N/A,N/A,N/A
35, Fast & Furious 8,2017,N/A,56,253K
36, Life,2017,N/A,54,252K
37, Mother!,2017,N/A,76,249K
38, The Hitman's Bodyguard,2017,N/A,47,246K
39," I, Tonya",2017,N/A,77,242K
40, King Arthur: Legend of the Sword,2017,N/A,41,232K
41, Ghost in the Shell,2017,N/A,52,227K
42,N/A,N/A,N/A,N/A,N/A
43, Darkest Hour,2017,N/A,75,220K
44,N/A,N/A,N/A,N/A,N/A
45, American Made,2017,N/A,65,207K
46, Atomic Blonde,2017,N/A,63,206K
47, The Mummy,2017,N/A,34,206K
48, Baywatch,2017,N/A,37,201K
49, Bright,2017,N/A,29,201K
50,Logan,2017,N/A,77,827K
51,Thor: Ragnarok,2017,N/A,74,813K
52,Guardians of the Galaxy Vol. 2,2017,N/A,67,756K
53,Dunkirk,2017,N/A,94,736K
54,Spider-Man: Homecoming,2017,N/A,73,716K
55,Wonder Woman,2017,N/A,76,698K
56,Get Out,2017,N/A,85,691K
57,Star Wars: Episode VIII - The Last Jedi,2017,N/A,84,670K
58,Blade Runner 2049,2017,N/A,81,658K
59, Baby Driver,2017,N/A,86,605K
60, It,2017,N/A,69,603K
61, Coco,2017,N/A,81,586K
62," Three Billboards Outside Ebbing, Missouri",2017,N/A,88,553K
63,N/A,N/A,N/A,N/A,N/A
64, John Wick: Chapter 2,2017,N/A,75,509K
65, Justice League,2017,N/A,45,477K
66, The Shape of Water,2017,N/A,87,446K
67,N/A,N/A,N/A,N/A,N/A
68, Jumanji: Welcome to the Jungle,2017,N/A,58,436K
69, Kingsman: The Golden Circle,2017,N/A,44,361K
70, Kong: Skull Island,2017,N/A,62,345K
71,N/A,N/A,N/A,N/A,N/A
72, Pirates of the Caribbean: Salazar's Revenge,2017,N/A,39,344K
73, Beauty and the Beast,2017,N/A,65,333K
74,N/A,N/A,N/A,N/A,N/A
75, Lady Bird,2017,N/A,93,326K
76,N/A,N/A,N/A,N/A,N/A
77, Call Me by Your Name,2017,N/A,94,313K
78, The Greatest Showman,2017,N/A,48,310K
79, Alien: Covenant,2017,N/A,65,302K
80, Murder on the Orient Express,2017,N/A,52,295K
81, War for the Planet of the Apes,2017,N/A,82,280K
82, Wind River,2017,N/A,73,279K
83,N/A,N/A,N/A,N/A,N/A
84,N/A,N/A,N/A,N/A,N/A
85, Fast & Furious 8,2017,N/A,56,253K
86, Life,2017,N/A,54,252K
87, Mother!,2017,N/A,76,249K
88, The Hitman's Bodyguard,2017,N/A,47,246K
89," I, Tonya",2017,N/A,77,242K
90, King Arthur: Legend of the Sword,2017,N/A,41,232K
91, Ghost in the Shell,2017,N/A,52,227K
92,N/A,N/A,N/A,N/A,N/A
93, Darkest Hour,2017,N/A,75,220K
94,N/A,N/A,N/A,N/A,N/A
95, American Made,2017,N/A,65,207K
96, Atomic Blonde,2017,N/A,63,206K
97, The Mummy,2017,N/A,34,206K
98, Baywatch,2017,N/A,37,201K
99, Bright,2017,N/A,29,201K
100,Logan,2017,N/A,77,827K
101,Thor: Ragnarok,2017,N/A,74,813K
102,Guardians of the Galaxy Vol. 2,2017,N/A,67,756K
103,Dunkirk,2017,N/A,94,736K
104,Spider-Man: Homecoming,2017,N/A,73,716K
105,Wonder Woman,2017,N/A,76,698K
106,Get Out,2017,N/A,85,691K
107,Star Wars: Episode VIII - The Last Jedi,2017,N/A,84,670K
108,Blade Runner 2049,2017,N/A,81,658K
109, Baby Driver,2017,N/A,86,605K
110, It,2017,N/A,69,603K
111, Coco,2017,N/A,81,586K
112," Three Billboards Outside Ebbing, Missouri",2017,N/A,88,553K
113,N/A,N/A,N/A,N/A,N/A
114, John Wick: Chapter 2,2017,N/A,75,509K
115, Justice League,2017,N/A,45,477K
116, The Shape of Water,2017,N/A,87,446K
117,N/A,N/A,N/A,N/A,N/A
118, Jumanji: Welcome to the Jungle,2017,N/A,58,436K
119, Kingsman: The Golden Circle,2017,N/A,44,361K
120, Kong: Skull Island,2017,N/A,62,345K
121,N/A,N/A,N/A,N/A,N/A
122, Pirates of the Caribbean: Salazar's Revenge,2017,N/A,39,344K
123, Beauty and the Beast,2017,N/A,65,333K
124,N/A,N/A,N/A,N/A,N/A
125, Lady Bird,2017,N/A,93,326K
126,N/A,N/A,N/A,N/A,N/A
127, Call Me by Your Name,2017,N/A,94,313K
128, The Greatest Showman,2017,N/A,48,310K
129, Alien: Covenant,2017,N/A,65,302K
130, Murder on the Orient Express,2017,N/A,52,295K
131, War for the Planet of the Apes,2017,N/A,82,280K
132, Wind River,2017,N/A,73,279K
133,N/A,N/A,N/A,N/A,N/A
134,N/A,N/A,N/A,N/A,N/A
135, Fast & Furious 8,2017,N/A,56,253K
136, Life,2017,N/A,54,252K
137, Mother!,2017,N/A,76,249K
138, The Hitman's Bodyguard,2017,N/A,47,246K
139," I, Tonya",2017,N/A,77,242K
140, King Arthur: Legend of the Sword,2017,N/A,41,232K
141, Ghost in the Shell,2017,N/A,52,227K
142,N/A,N/A,N/A,N/A,N/A
143, Darkest Hour,2017,N/A,75,220K
144,N/A,N/A,N/A,N/A,N/A
145, American Made,2017,N/A,65,207K
146, Atomic Blonde,2017,N/A,63,206K
147, The Mummy,2017,N/A,34,206K
148, Baywatch,2017,N/A,37,201K
149, Bright,2017,N/A,29,201K
150,Logan,2017,N/A,77,827K
151,Thor: Ragnarok,2017,N/A,74,813K
152,Guardians of the Galaxy Vol. 2,2017,N/A,67,756K
153,Dunkirk,2017,N/A,94,736K
154,Spider-Man: Homecoming,2017,N/A,73,716K
155,Wonder Woman,2017,N/A,76,698K
156,Get Out,2017,N/A,85,691K
157,Star Wars: Episode VIII - The Last Jedi,2017,N/A,84,670K
158,Blade Runner 2049,2017,N/A,81,658K
159, Baby Driver,2017,N/A,86,605K
160, It,2017,N/A,69,603K
161, Coco,2017,N/A,81,586K
162," Three Billboards Outside Ebbing, Missouri",2017,N/A,88,553K
163,N/A,N/A,N/A,N/A,N/A
164, John Wick: Chapter 2,2017,N/A,75,509K
165, Justice League,2017,N/A,45,477K
166, The Shape of Water,2017,N/A,87,446K
167,N/A,N/A,N/A,N/A,N/A
168, Jumanji: Welcome to the Jungle,2017,N/A,58,436K
169, Kingsman: The Golden Circle,2017,N/A,44,361K
170, Kong: Skull Island,2017,N/A,62,345K
171,N/A,N/A,N/A,N/A,N/A
172, Pirates of the Caribbean: Salazar's Revenge,2017,N/A,39,344K
173, Beauty and the Beast,2017,N/A,65,333K
174,N/A,N/A,N/A,N/A,N/A
175, Lady Bird,2017,N/A,93,326K
176,N/A,N/A,N/A,N/A,N/A
177, Call Me by Your Name,2017,N/A,94,313K
178, The Greatest Showman,2017,N/A,48,310K
179, Alien: Covenant,2017,N/A,65,302K
180, Murder on the Orient Express,2017,N/A,52,295K
181, War for the Planet of the Apes,2017,N/A,82,280K
182, Wind River,2017,N/A,73,279K
183,N/A,N/A,N/A,N/A,N/A
184,N/A,N/A,N/A,N/A,N/A
185, Fast & Furious 8,2017,N/A,56,253K
186, Life,2017,N/A,54,252K
187, Mother!,2017,N/A,76,249K
188, The Hitman's Bodyguard,2017,N/A,47,246K
189," I, Tonya",2017,N/A,77,242K
190, King Arthur: Legend of the Sword,2017,N/A,41,232K
191, Ghost in the Shell,2017,N/A,52,227K
192,N/A,N/A,N/A,N/A,N/A
193, Darkest Hour,2017,N/A,75,220K
194,N/A,N/A,N/A,N/A,N/A
195, American Made,2017,N/A,65,207K
196, Atomic Blonde,2017,N/A,63,206K
197, The Mummy,2017,N/A,34,206K
198, Baywatch,2017,N/A,37,201K
199, Bright,2017,N/A,29,201K
200,Avengers: Infinity War,2018,N/A,68,1.2M
201,Black Panther,2018,N/A,88,834K
202,Spider-Man: Into the Spider-Verse,2018,N/A,87,665K
203,Deadpool 2,2018,N/A,66,642K
204,Bohemian Rhapsody,2018,N/A,49,589K
205,A Quiet Place,2018,N/A,82,580K
206,Green Book,2018,N/A,69,565K
207,Venom,2018,N/A,35,535K
208,Aquaman,2018,N/A,55,519K
209, Ready Player One,2018,N/A,64,483K
210, Ant-Man and the Wasp,2018,N/A,70,447K
211, A Star Is Born,2018,N/A,88,417K
212, Bird Box,2018,N/A,51,384K
213, Solo: A Star Wars Story,2018,N/A,62,378K
214, Mission: Impossible - Fallout,2018,N/A,87,377K
215, Hereditary,2018,N/A,87,375K
216, Annihilation,2018,N/A,79,359K
217, Jurassic World: Fallen Kingdom,2018,N/A,51,342K
218, Incredibles 2,2018,N/A,80,329K
219, Fantastic Beasts: The Crimes of Grindelwald,2018,N/A,52,307K
220,N/A,N/A,N/A,N/A,N/A
221, BlacKkKlansman,2018,N/A,83,290K
222,N/A,N/A,N/A,N/A,N/A
223,N/A,N/A,N/A,N/A,N/A
224, Game Night,2018,N/A,66,255K
225, Ocean's Eight,2018,N/A,61,241K
226, The Favourite,2018,N/A,91,230K
227, Tomb Raider,2018,N/A,48,226K
228,N/A,N/A,N/A,N/A,N/A
229, The Meg,2018,N/A,46,207K
230, Upgrade,2018,N/A,67,206K
231,N/A,N/A,N/A,N/A,N/A
232, First Man,2018,N/A,84,202K
233, Red Sparrow,2018,N/A,53,201K
234, The Equalizer 2,2018,N/A,50,196K
235, Isle of Dogs,2018,N/A,82,190K
236, Crazy Rich Asians,2018,N/A,74,189K
237,N/A,N/A,N/A,N/A,N/A
238, Bumblebee,2018,N/A,66,187K
239, Rampage,2018,N/A,45,184K
240, Sugar Rush Online,2018,N/A,71,182K
241, Searching,2018,N/A,71,179K
242,N/A,N/A,N/A,N/A,N/A
243, The Nun,2018,N/A,46,169K
244, Roma,2018,N/A,96,169K
245, Halloween,2018,N/A,67,168K
246, The Ballad of Buster Scruggs,2018,N/A,79,167K
247, Soldado: The Soldier,2018,N/A,61,166K
248, Bad Times at the El Royale,2018,N/A,60,164K
249, A Simple Favor,2018,N/A,67,162K
250,Avengers: Infinity War,2018,N/A,68,1.2M
251,Black Panther,2018,N/A,88,834K
252,Spider-Man: Into the Spider-Verse,2018,N/A,87,665K
253,Deadpool 2,2018,N/A,66,642K
254,Bohemian Rhapsody,2018,N/A,49,589K
255,A Quiet Place,2018,N/A,82,580K
256,Green Book,2018,N/A,69,565K
257,Venom,2018,N/A,35,535K
258,Aquaman,2018,N/A,55,519K
259, Ready Player One,2018,N/A,64,483K
260, Ant-Man and the Wasp,2018,N/A,70,447K
261, A Star Is Born,2018,N/A,88,417K
262, Bird Box,2018,N/A,51,384K
263, Solo: A Star Wars Story,2018,N/A,62,378K
264, Mission: Impossible - Fallout,2018,N/A,87,377K
265, Hereditary,2018,N/A,87,375K
266, Annihilation,2018,N/A,79,359K
267, Jurassic World: Fallen Kingdom,2018,N/A,51,342K
268, Incredibles 2,2018,N/A,80,329K
269, Fantastic Beasts: The Crimes of Grindelwald,2018,N/A,52,307K
270,N/A,N/A,N/A,N/A,N/A
271, BlacKkKlansman,2018,N/A,83,290K
272,N/A,N/A,N/A,N/A,N/A
273,N/A,N/A,N/A,N/A,N/A
274, Game Night,2018,N/A,66,255K
275, Ocean's Eight,2018,N/A,61,241K
276, The Favourite,2018,N/A,91,230K
277, Tomb Raider,2018,N/A,48,226K
278,N/A,N/A,N/A,N/A,N/A
279, The Meg,2018,N/A,46,207K
280, Upgrade,2018,N/A,67,206K
281,N/A,N/A,N/A,N/A,N/A
282, First Man,2018,N/A,84,202K
283, Red Sparrow,2018,N/A,53,201K
284, The Equalizer 2,2018,N/A,50,196K
285, Isle of Dogs,2018,N/A,82,190K
286, Crazy Rich Asians,2018,N/A,74,189K
287,N/A,N/A,N/A,N/A,N/A
288, Bumblebee,2018,N/A,66,187K
289, Rampage,2018,N/A,45,184K
290, Sugar Rush Online,2018,N/A,71,182K
291, Searching,2018,N/A,71,179K
292,N/A,N/A,N/A,N/A,N/A
293, The Nun,2018,N/A,46,169K
294, Roma,2018,N/A,96,169K
295, Halloween,2018,N/A,67,168K
296, The Ballad of Buster Scruggs,2018,N/A,79,167K
297, Soldado: The Soldier,2018,N/A,61,166K
298, Bad Times at the El Royale,2018,N/A,60,164K
299, A Simple Favor,2018,N/A,67,162K
300,Avengers: Infinity War,2018,N/A,68,1.2M
301,Black Panther,2018,N/A,88,834K
302,Spider-Man: Into the Spider-Verse,2018,N/A,87,665K
303,Deadpool 2,2018,N/A,66,642K
304,Bohemian Rhapsody,2018,N/A,49,589K
305,A Quiet Place,2018,N/A,82,580K
306,Green Book,2018,N/A,69,565K
307,Venom,2018,N/A,35,535K
308,Aquaman,2018,N/A,55,519K
309, Ready Player One,2018,N/A,64,483K
310, Ant-Man and the Wasp,2018,N/A,70,447K
311, A Star Is Born,2018,N/A,88,417K
312, Bird Box,2018,N/A,51,384K
313, Solo: A Star Wars Story,2018,N/A,62,378K
314, Mission: Impossible - Fallout,2018,N/A,87,377K
315, Hereditary,2018,N/A,87,375K
316, Annihilation,2018,N/A,79,359K
317, Jurassic World: Fallen Kingdom,2018,N/A,51,342K
318, Incredibles 2,2018,N/A,80,329K
319, Fantastic Beasts: The Crimes of Grindelwald,2018,N/A,52,307K
320,N/A,N/A,N/A,N/A,N/A
321, BlacKkKlansman,2018,N/A,83,290K
322,N/A,N/A,N/A,N/A,N/A
323,N/A,N/A,N/A,N/A,N/A
324, Game Night,2018,N/A,66,255K
325, Ocean's Eight,2018,N/A,61,241K
326, The Favourite,2018,N/A,91,230K
327, Tomb Raider,2018,N/A,48,226K
328,N/A,N/A,N/A,N/A,N/A
329, The Meg,2018,N/A,46,207K
330, Upgrade,2018,N/A,67,206K
331,N/A,N/A,N/A,N/A,N/A
332, First Man,2018,N/A,84,202K
333, Red Sparrow,2018,N/A,53,201K
334, The Equalizer 2,2018,N/A,50,196K
335, Isle of Dogs,2018,N/A,82,190K
336, Crazy Rich Asians,2018,N/A,74,189K
337,N/A,N/A,N/A,N/A,N/A
338, Bumblebee,2018,N/A,66,187K
339, Rampage,2018,N/A,45,184K
340, Sugar Rush Online,2018,N/A,71,182K
341, Searching,2018,N/A,71,179K
342,N/A,N/A,N/A,N/A,N/A
343, The Nun,2018,N/A,46,169K
344, Roma,2018,N/A,96,169K
345, Halloween,2018,N/A,67,168K
346, The Ballad of Buster Scruggs,2018,N/A,79,167K
347, Soldado: The Soldier,2018,N/A,61,166K
348, Bad Times at the El Royale,2018,N/A,60,164K
349, A Simple Favor,2018,N/A,67,162K
350,Avengers: Infinity War,2018,N/A,68,1.2M
351,Black Panther,2018,N/A,88,834K
352,Spider-Man: Into the Spider-Verse,2018,N/A,87,665K
353,Deadpool 2,2018,N/A,66,642K
354,Bohemian Rhapsody,2018,N/A,49,589K
355,A Quiet Place,2018,N/A,82,580K
356,Green Book,2018,N/A,69,565K
357,Venom,2018,N/A,35,535K
358,Aquaman,2018,N/A,55,519K
359, Ready Player One,2018,N/A,64,483K
360, Ant-Man and the Wasp,2018,N/A,70,447K
361, A Star Is Born,2018,N/A,88,417K
362, Bird Box,2018,N/A,51,384K
363, Solo: A Star Wars Story,2018,N/A,62,378K
364, Mission: Impossible - Fallout,2018,N/A,87,377K
365, Hereditary,2018,N/A,87,375K
366, Annihilation,2018,N/A,79,359K
367, Jurassic World: Fallen Kingdom,2018,N/A,51,342K
368, Incredibles 2,2018,N/A,80,329K
369, Fantastic Beasts: The Crimes of Grindelwald,2018,N/A,52,307K
370,N/A,N/A,N/A,N/A,N/A
371, BlacKkKlansman,2018,N/A,83,290K
372,N/A,N/A,N/A,N/A,N/A
373,N/A,N/A,N/A,N/A,N/A
374, Game Night,2018,N/A,66,255K
375, Ocean's Eight,2018,N/A,61,241K
376, The Favourite,2018,N/A,91,230K
377, Tomb Raider,2018,N/A,48,226K
378,N/A,N/A,N/A,N/A,N/A
379, The Meg,2018,N/A,46,207K
380, Upgrade,2018,N/A,67,206K
381,N/A,N/A,N/A,N/A,N/A
382, First Man,2018,N/A,84,202K
383, Red Sparrow,2018,N/A,53,201K
384, The Equalizer 2,2018,N/A,50,196K
385, Isle of Dogs,2018,N/A,82,190K
386, Crazy Rich Asians,2018,N/A,74,189K
387,N/A,N/A,N/A,N/A,N/A
388, Bumblebee,2018,N/A,66,187K
389, Rampage,2018,N/A,45,184K
390, Sugar Rush Online,2018,N/A,71,182K
391, Searching,2018,N/A,71,179K
392,N/A,N/A,N/A,N/A,N/A
393, The Nun,2018,N/A,46,169K
394, Roma,2018,N/A,96,169K
395, Halloween,2018,N/A,67,168K
396, The Ballad of Buster Scruggs,2018,N/A,79,167K
397, Soldado: The Soldier,2018,N/A,61,166K
398, Bad Times at the El Royale,2018,N/A,60,164K
399, A Simple Favor,2018,N/A,67,162K
400,Avengers: Infinity War,2018,N/A,68,1.2M
401,Black Panther,2018,N/A,88,834K
402,Spider-Man: Into the Spider-Verse,2018,N/A,87,665K
403,Deadpool 2,2018,N/A,66,642K
404,Bohemian Rhapsody,2018,N/A,49,589K
405,A Quiet Place,2018,N/A,82,580K
406,Green Book,2018,N/A,69,565K
407,Venom,2018,N/A,35,535K
408,Aquaman,2018,N/A,55,519K
409, Ready Player One,2018,N/A,64,483K
410, Ant-Man and the Wasp,2018,N/A,70,447K
411, A Star Is Born,2018,N/A,88,417K
412, Bird Box,2018,N/A,51,384K
413, Solo: A Star Wars Story,2018,N/A,62,378K
414, Mission: Impossible - Fallout,2018,N/A,87,377K
415, Hereditary,2018,N/A,87,375K
416, Annihilation,2018,N/A,79,359K
417, Jurassic World: Fallen Kingdom,2018,N/A,51,342K
418, Incredibles 2,2018,N/A,80,329K
419, Fantastic Beasts: The Crimes of Grindelwald,2018,N/A,52,307K
420,N/A,N/A,N/A,N/A,N/A
421, BlacKkKlansman,2018,N/A,83,290K
422,N/A,N/A,N/A,N/A,N/A
423,N/A,N/A,N/A,N/A,N/A
424, Game Night,2018,N/A,66,255K
425, Ocean's Eight,2018,N/A,61,241K
426, The Favourite,2018,N/A,91,230K
427, Tomb Raider,2018,N/A,48,226K
428,N/A,N/A,N/A,N/A,N/A
429, The Meg,2018,N/A,46,207K
430, Upgrade,2018,N/A,67,206K
431,N/A,N/A,N/A,N/A,N/A
432, First Man,2018,N/A,84,202K
433, Red Sparrow,2018,N/A,53,201K
434, The Equalizer 2,2018,N/A,50,196K
435, Isle of Dogs,2018,N/A,82,190K
436, Crazy Rich Asians,2018,N/A,74,189K
437,N/A,N/A,N/A,N/A,N/A
438, Bumblebee,2018,N/A,66,187K
439, Rampage,2018,N/A,45,184K
440, Sugar Rush Online,2018,N/A,71,182K
441, Searching,2018,N/A,71,179K
442,N/A,N/A,N/A,N/A,N/A
443, The Nun,2018,N/A,46,169K
444, Roma,2018,N/A,96,169K
445, Halloween,2018,N/A,67,168K
446, The Ballad of Buster Scruggs,2018,N/A,79,167K
447, Soldado: The Soldier,2018,N/A,61,166K
448, Bad Times at the El Royale,2018,N/A,60,164K
449, A Simple Favor,2018,N/A,67,162K
450,Joker,2019,N/A,59,1.5M
451,Avengers: Endgame,2019,N/A,78,1.3M
452,Parasite,2019,N/A,97,949K
453,N/A,N/A,N/A,N/A,N/A
454,Once Upon a Time... in Hollywood,2019,N/A,84,841K
455,Knives Out,2019,N/A,82,770K
456,1917,2019,N/A,78,670K
457,N/A,N/A,N/A,N/A,N/A
458,Captain Marvel,2019,N/A,64,608K
459,N/A,N/A,N/A,N/A,N/A
460,N/A,N/A,N/A,N/A,N/A
461, Spider-Man: Far from Home,2019,N/A,69,553K
462, Star Wars: The Rise of Skywalker,2019,N/A,53,491K
463, Ford v Ferrari,2019,N/A,81,465K
464, Jojo Rabbit,2019,N/A,58,439K
465, The Irishman,2019,N/A,94,429K
